siguiente,id,ano,mes,unidades,anterior
2,1,2012,1,1,12
3,1,2012,2,2,1
4,1,2012,3,3,2
5,1,2012,4,4,3
6,1,2012,5,5,4
7,1,2012,6,6,5
8,1,2012,7,7,6
9,1,2012,8,8,7
10,1,2012,9,9,8
11,1,2012,10,10,9
12,1,2012,11,11,10
1,1,2012,12,12,11
2,1,2013,1,1,12
3,1,2013,2,2,1
4,1,2013,3,3,2
5,1,2013,4,4,3
6,1,2013,5,5,4
7,1,2013,6,6,5
8,1,2013,7,7,6
9,1,2013,8,8,7
10,1,2013,9,9,8
11,1,2013,10,10,9
12,1,2013,11,11,10
1,1,2012,12,12,11
2,1,2014,1,1,12
3,1,2014,2,2,1
4,1,2014,3,3,2
5,1,2014,4,4,3
6,1,2014,5,5,4
7,1,2014,6,6,5
8,1,2014,7,7,6
9,1,2014,8,8,7
10,1,2014,9,9,8
11,1,2014,10,10,9
12,1,2014,11,11,10
1,1,2012,12,12,11
2,1,2015,1,1,12
3,1,2015,2,2,1
4,1,2015,3,3,2
5,1,2015,4,4,3
6,1,2015,5,5,4
7,1,2015,6,6,5
8,1,2015,7,7,6
9,1,2015,8,8,7
10,1,2015,9,9,8
11,1,2015,10,10,9
12,1,2015,11,11,10
1,1,2015,12,12,11
2,1,2016,1,1,12
3,1,2016,2,2,1
4,1,2016,3,3,2
5,1,2016,4,4,3
6,1,2016,5,5,4
7,1,2016,6,6,5
8,1,2016,7,7,6
9,1,2016,8,8,7
10,1,2016,9,9,8
11,1,2016,10,10,9
12,1,2016,11,11,10
1,1,2016,12,12,11
2,1,2017,1,1,12
3,1,2017,2,2,1
4,1,2017,3,3,2
5,1,2017,4,4,3
6,1,2017,5,5,4
7,1,2017,6,6,5
8,1,2017,7,7,6
9,1,2017,8,8,7
10,1,2017,9,9,8
11,1,2017,10,10,9


