siguiente,id,ano,mes,unidades,anterior
2,1,2015,1,1,1
3,1,2015,2,2,1
4,1,2015,3,3,2
5,1,2015,4,4,3
6,1,2015,5,5,4
7,1,2015,6,6,5
8,1,2015,7,7,6
9,1,2015,8,8,7
10,1,2015,9,9,8
11,1,2015,10,10,9
12,1,2015,11,11,10
13,1,2015,12,12,11
14,1,2016,1,13,12
15,1,2016,2,14,13
16,1,2016,3,15,14
17,1,2016,4,16,15
18,1,2016,5,17,16
19,1,2016,6,18,17
20,1,2016,7,19,18
21,1,2016,8,20,19
22,1,2016,9,21,20
23,1,2016,10,22,21
24,1,2016,11,23,22
23,1,2016,12,24,23
22,1,2017,1,23,24
21,1,2017,2,22,23
20,1,2017,3,21,22
19,1,2017,4,20,21
18,1,2017,5,19,20
17,1,2017,6,18,19
16,1,2017,7,17,18
15,1,2017,8,16,17
14,1,2017,9,15,16

